"registration_date","registered_users_count"
"2019-06-01","4833"
"2019-06-02","5255"
"2019-06-03","4193"
"2019-06-04","4194"
"2019-06-05","3998"
"2019-06-06","3908"
"2019-06-07","3183"
"2019-06-08","2987"
"2019-06-09","4484"
"2019-06-10","4007"
"2019-06-11","3677"
"2019-06-12","3772"
"2019-06-13","3563"
"2019-06-14","3274"
"2019-06-15","3397"
"2019-06-16","3464"
"2019-06-17","2937"
"2019-06-18","2913"
"2019-06-19","2887"
"2019-06-20","3009"
"2019-06-21","2700"
"2019-06-22","2874"
"2019-06-23","3098"
"2019-06-24","2229"
"2019-06-25","2016"
"2019-06-26","2308"
"2019-06-27","2544"
"2019-06-28","2450"
"2019-06-29","2968"
"2019-06-30","3301"
